feature,category,N,mean,median,min,max,range,std,sum
repeated_punctuation0,w4w,12169,11778.7214494,0.0,0.0,260869.565217,260869.565217,23581.9276751,143.335261318
repeated_punctuation0,w4m,15769,9192.95963457,0.0,0.0,317073.170732,317073.170732,20403.9139123,144.963780478
repeated_punctuation0,m4w,48772,8428.22962749,0.0,0.0,846153.846154,846153.846154,21529.9868428,411.061615392
repeated_punctuation0,m4m,25671,11431.6368783,0.0,0.0,400000.0,400000.0,26060.3282902,293.461550302
leetspeak0,w4w,12169,7.46800004365,0.0,0.0,41095.890411,41095.890411,480.57839873,0.0908780925312
leetspeak0,w4m,15769,5.03456928831,0.0,0.0,50000.0,50000.0,422.966152738,0.0793901231074
leetspeak0,m4w,48772,4.0647111374,0.0,0.0,45454.5454545,45454.5454545,290.285247659,0.198244091593
leetspeak0,m4m,25671,5.31658814874,0.0,0.0,33333.3333333,33333.3333333,323.041110019,0.136482134366
rebus0,w4w,12169,99.3130955697,0.0,0.0,72463.7681159,72463.7681159,1644.69541213,1.20854105999
rebus0,w4m,15769,45.8192655948,0.0,0.0,41712.1818991,41712.1818991,792.985979086,0.722523999165
rebus0,m4w,48772,56.53053403,0.0,0.0,74074.0740741,74074.0740741,1097.88582576,2.75710720571
rebus0,m4m,25671,208.00749906,0.0,0.0,93750.0,93750.0,2476.58976486,5.33976050836
capitalization0,w4w,12169,13782.5591526,0.0,0.0,500000.0,500000.0,43362.4809841,167.719962327
capitalization0,w4m,15769,7406.4524388,0.0,0.0,500000.0,500000.0,30485.6357849,116.792348507
capitalization0,m4w,48772,8341.13859512,0.0,0.0,533333.333333,533333.333333,40383.5131404,406.814011561
capitalization0,m4m,25671,14723.8814215,0.0,0.0,583333.333333,583333.333333,50092.3705999,377.976759971
single_letters0,w4w,12169,2242.69874086,0.0,0.0,142857.142857,142857.142857,8678.19895638,27.2914009776
single_letters0,w4m,15769,1815.07321919,0.0,0.0,142857.142857,142857.142857,7217.61022229,28.6218895934
single_letters0,m4w,48772,1393.53907826,0.0,0.0,185430.463576,185430.463576,7328.14662457,67.9656879247
single_letters0,m4m,25671,2768.20560858,0.0,0.0,170212.765957,170212.765957,10616.4040933,71.0626061778
clippings0,w4w,12169,9662.790874,5154.63917526,0.0,115384.615385,115384.615385,13327.3775923,117.586502146
clippings0,w4m,15769,5595.39738104,0.0,0.0,142857.142857,142857.142857,10539.3428486,88.2338213016
clippings0,m4w,48772,6168.37017203,0.0,0.0,200000.0,200000.0,11621.545487,300.84375003
clippings0,m4m,25671,20099.652662,14388.4892086,0.0,250000.0,250000.0,23555.6956705,515.978183487
acronyms0,w4w,12169,6987.02953842,0.0,0.0,173913.043478,173913.043478,11784.3666783,85.025162453
acronyms0,w4m,15769,5919.41496672,0.0,0.0,200000.0,200000.0,11079.2895494,93.3432546103
acronyms0,m4w,48772,5329.14104206,0.0,0.0,612903.225806,612903.225806,11674.3792416,259.912866903
acronyms0,m4m,25671,10820.8525366,0.0,0.0,185185.185185,185185.185185,17676.8676104,277.782105467
emoticons0,w4w,12169,1907.2374842,0.0,0.0,116279.069767,116279.069767,5955.83994045,23.2091729452
emoticons0,w4m,15769,1333.15230385,0.0,0.0,200000.0,200000.0,5171.88914915,21.0224786794
emoticons0,m4w,48772,843.574631846,0.0,0.0,207373.271889,207373.271889,4123.52315567,41.1428219444
emoticons0,m4m,25671,523.07527276,0.0,0.0,90909.0909091,90909.0909091,3569.94088428,13.427865327
prosody0,w4w,12169,329.115262563,0.0,0.0,52631.5789474,52631.5789474,2120.56543857,4.00500363013
prosody0,w4m,15769,228.126378753,0.0,0.0,62500.0,62500.0,1805.50908336,3.59732486656
prosody0,m4w,48772,255.202267911,0.0,0.0,125000.0,125000.0,2053.55588345,12.4467250105
prosody0,m4m,25671,217.760915669,0.0,0.0,125000.0,125000.0,2530.14073749,5.59014046613
