feature,category,N,mean,median,min,max,range,std,sum
repeated_punctuation0,m,41525,10575.3574197,0.0,0.0,400000.0,400000.0,24079.4047938,439.141716852
repeated_punctuation0,w,61195,9104.48398864,0.0,0.0,846153.846154,846153.846154,21984.2274471,557.148897685
leetspeak0,m,41525,5.1986094515,0.0,0.0,50000.0,50000.0,363.937080819,0.215872257474
leetspeak0,w,61195,4.72460469196,0.0,0.0,45454.5454545,45454.5454545,336.285475902,0.289122184125
rebus0,m,41525,146.306209972,0.0,0.0,93750.0,93750.0,2010.04955479,6.07536536907
rebus0,w,61195,64.9027459788,0.0,0.0,74074.0740741,74074.0740741,1224.4339681,3.97172354018
capitalization0,m,41525,11955.1603502,0.0,0.0,583333.333333,583333.333333,43846.1595064,496.438033543
capitalization0,w,61195,9421.6874258,0.0,0.0,533333.333333,533333.333333,41008.586722,576.560162022
single_letters0,m,41525,2406.18609221,0.0,0.0,170212.765957,170212.765957,9476.75849289,99.9168774792
single_letters0,w,61195,1564.56791449,0.0,0.0,185430.463576,185430.463576,7621.27894954,95.7437335275
clippings0,m,41525,14589.4900184,5780.34682081,0.0,250000.0,250000.0,20878.2677255,605.828573015
clippings0,w,61195,6888.2308406,0.0,0.0,200000.0,200000.0,12084.7883619,421.52528629
acronyms0,m,41525,8957.69670655,0.0,0.0,200000.0,200000.0,15685.1203548,371.968355739
acronyms0,w,61195,5664.51074444,0.0,0.0,612903.225806,612903.225806,11723.2352482,346.639735006
emoticons0,m,41525,831.764177775,0.0,0.0,200000.0,200000.0,4270.23015234,34.5390074821
emoticons0,w,61195,1055.83283111,0.0,0.0,207373.271889,207373.271889,4564.54839454,64.6116900995
prosody0,m,41525,223.227514754,0.0,0.0,125000.0,125000.0,2292.92333582,9.26952255016
prosody0,w,61195,269.518770173,0.0,0.0,125000.0,125000.0,2064.65737903,16.4932011408
