Feature	Category	N	Mean	Range	StandardDeviation	Rank
RepeatedPunctuation	w4w	12169	11778.72	0 – 260869	23581.92	3
RepeatedPunctuation	w4m	15769	9192.96	0 – 317073	20403.91	6
RepeatedPunctuation	m4w	48772	8428.23	0 – 846153 	21529.99	7
RepeatedPunctuation	m4m	25671	11431.64	0 – 40000 	26060.33	4
RepeatedPunctuation	mw4w	223	11083.37	0 – 101851.91 	19499.35	5
RepeatedPunctuation	m4mw	159	12937.31	0 – 178082.19	28538.30	1
RepeatedPunctuation	m4mm	165	11647.07	0 – 205882.35	28700.51	2
Leetspeak	w4w	12169	7.47	0 – 41095.89	480.58	1
Leetspeak	w4m	15769	5.04	0 – 50000.00	422.967	3
Leetspeak	m4w	48772	4.07	0 – 45454.54	290.29	4
Leetspeak	m4m	25671	5.31	0 – 33333.33	323.04	2
Leetspeak	mw4w	223	0	-		-	
Leetspeak	m4mw	159	0	-	-	
Leetspeak	m4mm	165	0	-	-	
Rebus	w4w	12169	99.31	0 – 72463.77	1644.70	4
Rebus	w4m	15769	45.81	0 – 41712.18	793.00	6
Rebus	m4w	48772	56.53	0 – 74074.07	1097.89	5
Rebus	m4m	25671	208.00	0 – 93750.00	2476.60	3
Rebus	mw4w	223	20.29	0 – 4524.89 	302.33	7
Rebus	m4mw	159	209.25	0 – 23655.55	2014.22	2
Rebus	m4mm	165	778.59	0 – 33898.30	4484.61	1
Capitalization	w4w	12169	13782.56	0 – 500000.00	43362.48	3
Capitalization	w4m	15769	7406.45	0 – 500000.00	30485.64	5
Capitalization	m4w	48772	8341.14	0 – 533333.33	40383.51	4
Capitalization	m4m	25671	14723.88	0 – 583333.33	50092.40	2
Capitalization	mw4w	223	7833.75	0 – 405063.29	29563.02	6
Capitalization	m4mw	159	5593.93	0 – 66666.67	12139.52	7
Capitalization	m4mm	165	24986.76	0 – 431818.18	79155.10	1
SingleLetters	w4w	12169	2242.70	0 – 142857.14	8678.20	4
SingleLetters	w4m	15769	1815.07	0 – 142857.14	7217.61	6
SingleLetters	m4w	48772	1393.54	0 – 185430.46	7328.15	7
SingleLetters	m4m	25671	2768.21	0 – 170212.77	10616.40	2
SingleLetters	mw4w	223	1890.00	0 – 4444.44	6878.20	5
SingleLetters	m4mw	159	2399.81	0 – 49019.60 	8522.00	3
SingleLetters	m4mm	165	3966.56	0 – 76923.08	11582.74	1
Clippings	w4w	12169	9662.80	0 – 115384.62	13327.38	5
Clippings	w4m	15769	5595.40	0 – 142857.14	10539.34	7
Clippings	m4w	48772	6168.37	0 – 200000.00	11621.55	6
Clippings	m4m	25671	20099.65	0 – 250000.00	23555.70	1
Clippings	mw4w	223	12816.01	0 – 104166.67	15871.77	4
Clippings	m4mw	159	13118.05	0 – 103448.28	18869.31	3
Clippings	m4mm	165	16231.57	0 – 103448.28	18950.27	2
Acronyms	w4w	12169	6987.03	0 – 173913.04	11784.37	4
Acronyms	w4m	15769	5919.41	0 – 200000.00	11079.29	6
Acronyms	m4w	48772	5329.14	0 – 612903.23	11674.38	7
Acronyms	m4m	25671	10820.85	0 – 185185.19	17676.87	2
Acronyms	mw4w	223	6605.14	0 – 111111.11	13487.87	5
Acronyms	m4mw	159	11273.55	0 – 161904.76	19815.34	1
Acronyms	m4mm	165	7022.88	0 – 64000.00 	11523.20	3
Emoticons	w4w	12169	1907.24	0 – 116279.07	5955.84	1
Emoticons	w4m	15769	1333.15	0 – 200000.00	5171.89	2
Emoticons	m4w	48772	843.28	0 – 207373.27	4121.54	4
Emoticons	m4m	25671	523.08	0 – 90909.09	3569.94	6
Emoticons	mw4w	223	965.47	0 – 21126.76	3301.48	3
Emoticons	m4mw	159	607.10	0 – 26315.80	3088.91	5
Emoticons	m4mm	165	596.13	0 – 27777.78	3584.31	7
Prosody	w4w	12169	329.12	0 – 52631.58	2120.57	2
Prosody	w4m	15769	228.13	0 – 62500.00	1805.51	5
Prosody	m4w	48772	255.20	0 – 125000.00	2053.56	4
Prosody	m4m	25671	217.76	0 – 125000.00	2530.14	6
Prosody	mw4w	223	167.71	0 – 14705.88	1327.45	7
Prosody	m4mw	159	524.08	0 – 35714.29	3373.56	1
Prosody	m4mm	165	258.90	0 – 28571.43	2349.88	3
