feature,category,N,mean,median,min,max,range,std,sum
repeated_punctuation0,w4w,12169,1286383.43331,0.0,0,53000000,53000000,2670328.8321,15654
repeated_punctuation0,w4m,15769,1057961.82383,0.0,0,47000000,47000000,2455656.87239,16683
repeated_punctuation0,m4w,48772,1012671.20479,0.0,0,152000000,152000000,3028610.15648,49390
repeated_punctuation0,m4m,25671,858634.256554,0.0,0,85000000,85000000,2265446.9239,22042
repeated_punctuation0,mw4w,223,1143497.75785,0.0,0,18000000,18000000,2244483.09364,255
repeated_punctuation0,m4mw,159,987421.383648,0.0,0,26000000,26000000,2651657.65499,157
repeated_punctuation0,m4mm,165,915151.515152,0.0,0,21000000,21000000,2382781.82372,151


leetspeak0,w4w,12169,575.232147259,0.0,0,3000000,3000000,32679.6172171,7
leetspeak0,w4m,15769,317.077810895,0.0,0,2000000,2000000,21066.7604751,5
leetspeak0,m4w,48772,389.567784795,0.0,0,2000000,2000000,20746.6420651,19
leetspeak0,m4m,25671,350.590160103,0.0,0,1000000,1000000,18720.7704607,9
leetspeak0,mw4w,223,0.0,0.0,0,0,0,0.0,0
leetspeak0,m4mw,159,0.0,0.0,0,0,0,0.0,0
leetspeak0,m4mm,165,0.0,0.0,0,0,0,0.0,0
rebus0,w4w,12169,16763.9082916,0.0,0,9000000,9000000,215776.049111,204
rebus0,w4m,15769,7800.11414801,0.0,0,6000000,6000000,102613.630202,123
rebus0,m4w,48772,9780.20175511,0.0,0,13000000,13000000,138853.228465,477
rebus0,m4m,25671,18425.4606365,0.0,0,7000000,7000000,181352.305432,473
rebus0,mw4w,223,4484.30493274,0.0,0,1000000,1000000,66814.6386805,1
rebus0,m4mw,159,18867.9245283,0.0,0,2000000,2000000,176325.104011,3
rebus0,m4mm,165,48484.8484848,0.0,0,2000000,2000000,265285.680342,8
feature,category,N,mean,median,min,max,range,std,sum
capitalization0,w4w,12169,1592078.23157,0.0,0,140000000,140000000,5130230.02556,19374
capitalization0,w4m,15769,890988.648614,0.0,0,196000000,196000000,3597121.98047,14050
capitalization0,m4w,48772,982223.406873,0.0,0,320000000,320000000,5320760.99579,47905
capitalization0,m4m,25671,1128510.77091,0.0,0,232000000,232000000,4482641.70998,28970
capitalization0,mw4w,223,937219.730942,0.0,0,64000000,64000000,4424311.69496,209
capitalization0,m4mw,159,515723.27044,0.0,0,9000000,9000000,1175511.90996,82
capitalization0,m4mm,165,2587878.78788,0.0,0,75000000,75000000,9729049.21001,427
single_letters0,w4w,12169,227134.522146,0.0,0,21000000,21000000,938585.848805,2764
single_letters0,w4m,15769,187202.739552,0.0,0,24000000,24000000,716323.428194,2952
single_letters0,m4w,48772,120991.55253,0.0,0,28000000,28000000,682931.361241,5901
single_letters0,m4m,25671,181255.112773,0.0,0,18000000,18000000,736628.030061,4653
single_letters0,mw4w,223,152466.367713,0.0,0,3000000,3000000,539124.616399,34
single_letters0,m4mw,159,144654.08805,0.0,0,5000000,5000000,547567.26691,23
single_letters0,m4mm,165,309090.909091,0.0,0,5000000,5000000,885014.513274,51
clippings0,w4w,12169,940915.440874,1000000.0,0,19000000,19000000,1184462.58486,11450
clippings0,w4m,15769,565476.56795,0.0,0,11000000,11000000,890641.781471,8917
clippings0,m4w,48772,587447.715903,0.0,0,20000000,20000000,973675.863599,28651
clippings0,m4m,25671,1306026.25531,1000000.0,0,28000000,28000000,1454594.45515,33527
clippings0,mw4w,223,1080717.48879,1000000.0,0,8000000,8000000,1246604.5097,241
clippings0,m4mw,159,849056.603774,1000000.0,0,6000000,6000000,1065105.06315,135
clippings0,m4mm,165,1145454.54545,1000000.0,0,8000000,8000000,1299205.09709,189
feature,category,N,mean,median,min,max,range,std,sum
acronyms0,w4w,12169,718711.47999,0.0,0,20000000,20000000,1087515.32014,8746
acronyms0,w4m,15769,639102.03564,0.0,0,14000000,14000000,998036.301535,10078
acronyms0,m4w,48772,531965.061921,0.0,0,86000000,86000000,1052379.97807,25945
acronyms0,m4m,25671,718554.010362,0.0,0,22000000,22000000,1094134.86829,18446
acronyms0,mw4w,223,591928.251121,0.0,0,6000000,6000000,960814.001991,132
acronyms0,m4mw,159,899371.069182,0.0,0,34000000,34000000,2828860.62482,143
acronyms0,m4mm,165,593939.393939,0.0,0,8000000,8000000,1132960.56096,98
emoticons0,w4w,12169,201495.603583,0.0,0,10000000,10000000,575182.698648,2452
emoticons0,w4m,15769,145411.884076,0.0,0,10000000,10000000,482660.897132,2293
emoticons0,m4w,48772,89436.5619618,0.0,0,45000000,45000000,428469.879026,4362
emoticons0,m4m,25671,37474.1926688,0.0,0,7000000,7000000,229147.68298,962
emoticons0,mw4w,223,121076.233184,0.0,0,3000000,3000000,422096.739937,27
emoticons0,m4mw,159,44025.1572327,0.0,0,1000000,1000000,205151.024281,7
emoticons0,m4mm,165,48484.8484848,0.0,0,3000000,3000000,307601.879768,8
prosody0,w4w,12169,43060.2350234,0.0,0,5000000,5000000,242470.038737,524
prosody0,w4m,15769,32278.5211491,0.0,0,5000000,5000000,206214.908019,509
prosody0,m4w,48772,37029.4431231,0.0,0,35000000,35000000,292372.934424,1806
prosody0,m4m,25671,15309.1036578,0.0,0,6000000,6000000,145703.603373,393
prosody0,mw4w,223,17937.2197309,0.0,0,1000000,1000000,132723.305713,4
prosody0,m4mw,159,44025.1572327,0.0,0,2000000,2000000,233806.670383,7
prosody0,m4mm,165,18181.8181818,0.0,0,1000000,1000000,133608.531425,3
