feature,category,N,mean,median,min,max,range,std,sum
repeated_punctuation0,m,74889,9480.39793778,0.0,0.0,846153.846154,846153.846154,23268.3924208,71864
repeated_punctuation0,w,27994,10332.6721643,0.0,0.0,317073.170732,317073.170732,21947.6608379,32410
leetspeak0,m,74889,4.65509106609,0.0,0.0,45454.5454545,45454.5454545,305.327529545,29
leetspeak0,w,27994,6.08231105375,0.0,0.0,50000.0,50000.0,448.522507959,12
rebus0,m,74889,111.142309122,0.0,0.0,93750.0,93750.0,1728.79466607,963
rebus0,w,27994,69.3248711784,0.0,0.0,72463.7681159,72463.7681159,1238.57126968,328
capitalization0,m,74889,10567.0051043,0.0,0.0,583333.333333,583333.333333,44151.8536808,77479
capitalization0,w,27994,10182.7435073,0.0,0.0,500000.0,500000.0,36788.1803853,33484
single_letters0,m,74889,1875.37627671,0.0,0.0,185430.463576,185430.463576,8642.24166867,10652
single_letters0,w,27994,2008.21105108,0.0,0.0,142857.142857,142857.142857,7912.63159837,5729
clippings0,m,74889,10993.6879986,0.0,0.0,250000.0,250000.0,18002.3005987,62618
clippings0,w,27994,7380.29821988,0.0,0.0,142857.142857,142857.142857,12021.4792848,20429
acronyms0,m,74889,7236.28317713,0.0,0.0,612903.225806,612903.225806,14291.2626345,44723
acronyms0,w,27994,6389.68358818,0.0,0.0,200000.0,200000.0,11419.6843038,18862
emoticons0,m,74889,731.912859666,0.0,0.0,207373.271889,207373.271889,3938.61443758,5340
emoticons0,w,27994,1580.81365836,0.0,0.0,200000.0,200000.0,5529.64799803,4750
prosody0,m,74889,242.704778953,0.0,0.0,125000.0,125000.0,2231.33136759,2211
prosody0,w,27994,272.91684036,0.0,0.0,62500.0,62500.0,1952.10133892,1036
