feature,category,N,mean,median,min,max,range,std,sum
repeated_punctuation0,w4m,15769,1057961.82383,0.0,0,47000000,47000000,2455656.87239,16683
repeated_punctuation0,m4w,48772,1012671.20479,0.0,0,152000000,152000000,3028610.15648,49390
leetspeak0,w4m,15769,317.077810895,0.0,0,2000000,2000000,21066.7604751,5
leetspeak0,m4w,48772,389.567784795,0.0,0,2000000,2000000,20746.6420651,19
rebus0,w4m,15769,7800.11414801,0.0,0,6000000,6000000,102613.630202,123
rebus0,m4w,48772,9780.20175511,0.0,0,13000000,13000000,138853.228465,477
capitalization0,w4m,15769,890988.648614,0.0,0,196000000,196000000,3597121.98047,14050
capitalization0,m4w,48772,982223.406873,0.0,0,320000000,320000000,5320760.99579,47905
single_letters0,w4m,15769,187202.739552,0.0,0,24000000,24000000,716323.428194,2952
single_letters0,m4w,48772,120991.55253,0.0,0,28000000,28000000,682931.361241,5901
clippings0,w4m,15769,565476.56795,0.0,0,11000000,11000000,890641.781471,8917
clippings0,m4w,48772,587447.715903,0.0,0,20000000,20000000,973675.863599,28651
acronyms0,w4m,15769,639102.03564,0.0,0,14000000,14000000,998036.301535,10078
acronyms0,m4w,48772,531965.061921,0.0,0,86000000,86000000,1052379.97807,25945
emoticons0,w4m,15769,145411.884076,0.0,0,10000000,10000000,482660.897132,2293
emoticons0,m4w,48772,89436.5619618,0.0,0,45000000,45000000,428469.879026,4362
prosody0,w4m,15769,32278.5211491,0.0,0,5000000,5000000,206214.908019,509
prosody0,m4w,48772,37029.4431231,0.0,0,35000000,35000000,292372.934424,1806
