feature,category,N,mean,median,min,max,range,std,sum,wordcount
repeated_punctuation0,w4w,12169,1286383.433,0,0,53000000,53000000,2670328.832,15654,1297162
repeated_punctuation0,w4m,15769,1057961.824,0,0,47000000,47000000,2455656.872,16683,1831117
repeated_punctuation0,m4w,48772,1012671.205,0,0,152000000,152000000,3028610.156,49390,5640396
repeated_punctuation0,m4m,25671,858634.2566,0,0,85000000,85000000,2265446.924,22042,1785786
leetspeak0,w4w,12169,575.2321473,0,0,3000000,3000000,32679.61722,7,1297162
leetspeak0,w4m,15769,317.0778109,0,0,2000000,2000000,21066.76048,5,1831117
leetspeak0,m4w,48772,389.5677848,0,0,2000000,2000000,20746.64207,19,5640396
leetspeak0,m4m,25671,350.5901601,0,0,1000000,1000000,18720.77046,9,1785786
rebus0,w4w,12169,16763.90829,0,0,9000000,9000000,215776.0491,204,1297162
rebus0,w4m,15769,7800.114148,0,0,6000000,6000000,102613.6302,123,1831117
rebus0,m4w,48772,9780.201755,0,0,13000000,13000000,138853.2285,477,5640396
rebus0,m4m,25671,18425.46064,0,0,7000000,7000000,181352.3054,473,1785786
capitalization0,w4w,12169,1592078.232,0,0,140000000,140000000,5130230.026,19374,1297162
capitalization0,w4m,15769,890988.6486,0,0,196000000,196000000,3597121.98,14050,1831117
capitalization0,m4w,48772,982223.4069,0,0,320000000,320000000,5320760.996,47905,5640396
capitalization0,m4m,25671,1128510.771,0,0,232000000,232000000,4482641.71,28970,1785786
single_letters0,w4w,12169,227134.5221,0,0,21000000,21000000,938585.8488,2764,1297162
single_letters0,w4m,15769,187202.7396,0,0,24000000,24000000,716323.4282,2952,1831117
single_letters0,m4w,48772,120991.5525,0,0,28000000,28000000,682931.3612,5901,5640396
single_letters0,m4m,25671,181255.1128,0,0,18000000,18000000,736628.0301,4653,1785786
clippings0,w4w,12169,940915.4409,1000000,0,19000000,19000000,1184462.585,11450,1297162
clippings0,w4m,15769,565476.568,0,0,11000000,11000000,890641.7815,8917,1831117
clippings0,m4w,48772,587447.7159,0,0,20000000,20000000,973675.8636,28651,5640396
clippings0,m4m,25671,1306026.255,1000000,0,28000000,28000000,1454594.455,33527,1785786
acronyms0,w4w,12169,718711.48,0,0,20000000,20000000,1087515.32,8746,1297162
acronyms0,w4m,15769,639102.0356,0,0,14000000,14000000,998036.3015,10078,1831117
acronyms0,m4w,48772,531965.0619,0,0,86000000,86000000,1052379.978,25945,5640396
acronyms0,m4m,25671,718554.0104,0,0,22000000,22000000,1094134.868,18446,1785786
emoticons0,w4w,12169,201495.6036,0,0,10000000,10000000,575182.6986,2452,1297162
emoticons0,w4m,15769,145411.8841,0,0,10000000,10000000,482660.8971,2293,1831117
emoticons0,m4w,48772,89436.56196,0,0,45000000,45000000,428469.879,4362,5640396
emoticons0,m4m,25671,37474.19267,0,0,7000000,7000000,229147.683,962,1785786
prosody0,w4w,12169,43060.23502,0,0,5000000,5000000,242470.0387,524,1297162
prosody0,w4m,15769,32278.52115,0,0,5000000,5000000,206214.908,509,1831117
prosody0,m4w,48772,37029.44312,0,0,35000000,35000000,292372.9344,1806,5640396
prosody0,m4m,25671,15309.10366,0,0,6000000,6000000,145703.6034,393,1785786
