Feature	Category	N	Mean	Range	StandardDeviation	Rank
RepeatedPunctuation	w4w	12169	11778.72	0 – 260869	23581.92	3
RepeatedPunctuation	w4m	15769	9192.96	0 – 317073	20403.91	4
RepeatedPunctuation	m4w	48772	8428.23	0 – 846153 	21529.99	1
RepeatedPunctuation	m4m	25671	11431.64	0 – 40000 	26060.33	2
Leetspeak	w4w	12169	7.47	0 – 41095.89	480.58	1
Leetspeak	w4m	15769	5.04	0 – 50000.00	422.967	3
Leetspeak	m4w	48772	4.07	0 – 45454.54	290.29	4
Leetspeak	m4m	25671	5.31	0 – 33333.33	323.04	2
Rebus	w4w	12169	99.31	0 – 72463.77	1644.7	2
Rebus	w4m	15769	45.81	0 – 41712.18	793	4
Rebus	m4w	48772	56.53	0 – 74074.07	1097.89	3
Rebus	m4m	25671	208	0 – 93750.00	2476.6	1
Capitalization	w4w	12169	13782.56	0 – 500000.00	43362.48	2
Capitalization	w4m	15769	7406.45	0 – 500000.00	30485.64	4
Capitalization	m4w	48772	8341.14	0 – 533333.33	40383.51	3
Capitalization	m4m	25671	14723.88	0 – 583333.33	50092.4	1
SingleLetters	w4w	12169	2242.7	0 – 142857.14	8678.2	2
SingleLetters	w4m	15769	1815.07	0 – 142857.14	7217.61	3
SingleLetters	m4w	48772	1393.54	0 – 185430.46	7328.15	4
SingleLetters	m4m	25671	2768.21	0 – 170212.77	10616.4	1
Clippings	w4w	12169	9662.8	0 – 115384.62	13327.38	2
Clippings	w4m	15769	5595.4	0 – 142857.14	10539.34	4
Clippings	m4w	48772	6168.37	0 – 200000.00	11621.55	3
Clippings	m4m	25671	20099.65	0 – 250000.00	23555.7	1
Acronyms	w4w	12169	6987.03	0 – 173913.04	11784.37	2
Acronyms	w4m	15769	5919.41	0 – 200000.00	11079.29	3
Acronyms	m4w	48772	5329.14	0 – 612903.23	11674.38	4
Acronyms	m4m	25671	10820.85	0 – 185185.19	17676.87	1
Emoticons	w4w	12169	1907.24	0 – 116279.07	5955.84	1
Emoticons	w4m	15769	1333.15	0 – 200000.00	5171.89	2
Emoticons	m4w	48772	843.28	0 – 207373.27	4121.54	3
Emoticons	m4m	25671	523.08	0 – 90909.09	3569.94	4
Prosody	w4w	12169	329.12	0 – 52631.58	2120.57	1
Prosody	w4m	15769	228.13	0 – 62500.00	1805.51	3
Prosody	m4w	48772	255.2	0 – 125000.00	2053.56	2
Prosody	m4m	25671	217.76	0 – 125000.00	2530.14	4
